matrix,nodes,conns,fabric,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,pfc_pauses,pfc_pause_us,max_queue_bytes,slowdown_p50,slowdown_p99,slowdown_max,fairness_jain
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,128,32640,1os,ok,17707,32640,3862530.0,4099.7,1876010.0,3748180.0,3862530.0,3264.000,0,0,0,0,0,0,0,0,0,723197,2723820.0,117376,469.0175,937.0650,965.6325,0.0591
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,128,32640,4os,ok,21529,32640,6875670.0,4081.8,3350830.0,6716820.0,6875670.0,3264.000,0,0,0,0,0,0,0,0,0,611862,2587560.0,117952,837.7500,1679.2275,1718.9175,0.0373
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,128,32640,8os,ok,24484,32640,12002400.0,5507.7,5923370.0,11746600.0,12002400.0,3264.000,0,0,0,0,0,0,0,0,0,939753,4127940.0,117568,1481.0475,2936.6750,3000.6000,0.0398
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,128,32640,1os,ok,1562,32640,796414.0,661.8,380021.0,764183.0,796414.0,522.240,0,0,0,0,0,0,0,0,0,226016,829244.0,117376,593.8156,1194.0391,1244.3969,0.0509
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,128,32640,4os,ok,1503,32640,1432240.0,659.7,695573.0,1394370.0,1432240.0,522.240,0,0,0,0,0,0,0,0,0,253217,1027930.0,117568,1086.9547,2178.7344,2237.8750,0.0327
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,128,32640,8os,ok,1581,32640,2437370.0,868.1,1193380.0,2386510.0,2437370.0,522.240,0,0,0,0,0,0,0,0,0,285854,1200880.0,117632,1864.7500,3728.9688,3808.3906,0.0409
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,128,32640,1os,ok,9530,32640,2627660.0,2628.3,1275180.0,2542910.0,2627660.0,2088.960,0,0,0,0,0,0,0,0,0,435686,1601000.0,117568,498.1484,993.3398,1026.4297,0.0576
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,128,32640,4os,ok,11035,32640,4713760.0,2614.9,2286470.0,4574230.0,4713760.0,2088.960,0,0,0,0,0,0,0,0,0,461054,1919030.0,117952,893.3516,1786.8320,1841.3125,0.0363
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,128,32640,8os,ok,12671,32640,8030710.0,3549.1,3925410.0,7854210.0,8030710.0,2088.960,0,0,0,0,0,0,0,0,0,651632,2889140.0,117632,1533.5000,3068.0898,3136.9961,0.0409
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_100MB.cm,128,16256,1os,ok,10321,16256,1962920.0,4113.6,919560.0,1863340.0,1962920.0,1625.600,0,0,0,0,0,0,0,0,0,200653,790723.0,117376,229.9503,465.8750,490.7300,0.0920
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_100MB.cm,128,16256,4os,ok,14346,16256,3363320.0,4080.4,1614560.0,3241940.0,3363320.0,1625.600,0,0,0,0,0,0,0,0,0,268436,1232640.0,117952,403.6500,810.5150,840.8300,0.0692
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_100MB.cm,128,16256,8os,ok,20057,16256,5657940.0,5351.0,2725920.0,5446480.0,5657940.0,1625.600,0,0,0,0,0,0,0,0,0,352454,1648260.0,117888,681.5175,1361.9650,1414.4850,0.0683
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_16MB.cm,128,16256,1os,ok,802,16256,491031.0,661.8,190446.0,445272.0,491031.0,260.096,0,0,0,0,0,0,0,0,0,118026,461940.0,117376,297.6016,696.1172,767.2359,0.0828
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_16MB.cm,128,16256,4os,ok,843,16256,682693.0,659.8,330940.0,663654.0,682693.0,260.096,0,0,0,0,0,0,0,0,0,124397,532866.0,117824,517.1094,1037.0859,1066.7078,0.0619
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_16MB.cm,128,16256,8os,ok,931,16256,1113220.0,787.8,549657.0,1088290.0,1113220.0,260.096,0,0,0,0,0,0,0,0,0,142796,638799.0,117760,858.8672,1700.6250,1739.4062,0.0680
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_64MB.cm,128,16256,1os,ok,5305,16256,1297360.0,2636.3,619244.0,1253420.0,1297360.0,1040.384,0,0,0,0,0,0,0,0,0,156625,602772.0,117376,241.9242,489.6602,506.7812,0.0914
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_64MB.cm,128,16256,4os,ok,6943,16256,2230810.0,2614.7,1084250.0,2176240.0,2230810.0,1040.384,0,0,0,0,0,0,0,0,0,202990,903314.0,117824,423.7031,850.1836,871.4102,0.0680
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_64MB.cm,128,16256,8os,ok,9451,16256,3775300.0,3539.8,1816990.0,3671440.0,3775300.0,1040.384,0,0,0,0,0,0,0,0,0,264647,1227370.0,117824,709.8242,1434.2734,1474.7266,0.0697
