matrix,fabric,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,1os,768,0.2619,0.2725,0.2887,0.3010,0.3073,128,0.2725,0.2725,0.2725,0.2725,0.2725,128,0.2725,0.2725,0.2725,0.2725,0.2725,128,0.2704,0.2726,0.2977,0.3040,0.3073,128,0.2704,0.2745,0.2957,0.3039,0.3072,128,0.2427,0.2412,0.2818,0.2956,0.3068,128,0.2427,0.2422,0.2791,0.2927,0.2941
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,4os,576,0.1962,0.1531,0.5514,0.6003,0.6542,128,0.1531,0.1531,0.1531,0.1531,0.1531,128,0.1531,0.1531,0.1531,0.1531,0.1531,128,0.1519,0.1537,0.1668,0.1743,0.1761,128,0.1519,0.1524,0.1667,0.1696,0.1715,32,0.5455,0.5514,0.6191,0.6347,0.6347,32,0.5455,0.5440,0.6056,0.6542,0.6542
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,8os,352,0.1839,0.0877,0.6168,0.6991,0.7046,128,0.0877,0.0877,0.0877,0.0877,0.0877,128,0.0877,0.0877,0.0877,0.0877,0.0877,32,0.3481,0.3509,0.3509,0.3509,0.3509,32,0.3481,0.3509,0.3509,0.3509,0.3509,16,0.6250,0.6207,0.7046,0.7046,0.7046,16,0.6250,0.6182,0.7045,0.7045,0.7045
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,1os,768,0.2032,0.2115,0.2244,0.2338,0.2386,128,0.2115,0.2115,0.2115,0.2115,0.2115,128,0.2115,0.2115,0.2115,0.2115,0.2115,128,0.2098,0.2115,0.2310,0.2359,0.2385,128,0.2098,0.2130,0.2294,0.2358,0.2384,128,0.1884,0.1874,0.2161,0.2259,0.2358,128,0.1884,0.1886,0.2210,0.2336,0.2386
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,4os,576,0.1507,0.1176,0.4236,0.4611,0.5025,128,0.1176,0.1176,0.1176,0.1176,0.1176,128,0.1176,0.1176,0.1176,0.1176,0.1176,128,0.1167,0.1181,0.1281,0.1339,0.1353,128,0.1167,0.1171,0.1281,0.1303,0.1317,32,0.4190,0.4236,0.4756,0.4875,0.4875,32,0.4190,0.4178,0.4652,0.5025,0.5025
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,8os,352,0.1449,0.0691,0.4860,0.5508,0.5551,128,0.0691,0.0691,0.0691,0.0691,0.0691,128,0.0691,0.0691,0.0691,0.0691,0.0691,32,0.2743,0.2765,0.2765,0.2765,0.2765,32,0.2743,0.2765,0.2765,0.2765,0.2765,16,0.4925,0.4891,0.5551,0.5551,0.5551,16,0.4925,0.4871,0.5551,0.5551,0.5551
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,1os,768,0.2464,0.2564,0.2716,0.2834,0.3082,128,0.2564,0.2564,0.2564,0.2564,0.2564,128,0.2564,0.2564,0.2564,0.2564,0.2564,128,0.2544,0.2564,0.2800,0.2860,0.2891,128,0.2544,0.2582,0.2782,0.2859,0.2890,128,0.2284,0.2262,0.2632,0.2807,0.3082,128,0.2284,0.2281,0.2662,0.2742,0.2852
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,4os,576,0.1831,0.1429,0.5148,0.5604,0.6107,128,0.1429,0.1429,0.1429,0.1429,0.1429,128,0.1429,0.1429,0.1429,0.1429,0.1429,128,0.1418,0.1435,0.1557,0.1628,0.1644,128,0.1418,0.1423,0.1556,0.1584,0.1601,32,0.5092,0.5148,0.5780,0.5925,0.5925,32,0.5092,0.5078,0.5654,0.6107,0.6107
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,8os,352,0.1759,0.0839,0.5900,0.6687,0.6739,128,0.0839,0.0839,0.0839,0.0839,0.0839,128,0.0839,0.0839,0.0839,0.0839,0.0839,32,0.3330,0.3356,0.3357,0.3357,0.3357,32,0.3330,0.3356,0.3356,0.3357,0.3357,16,0.5978,0.5937,0.6739,0.6739,0.6739,16,0.5978,0.5914,0.6739,0.6739,0.6739
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_100MB.cm,1os,768,0.2545,0.2646,0.2860,0.3001,0.3142,128,0.2671,0.2671,0.2671,0.2671,0.2671,128,0.2671,0.2671,0.2671,0.2671,0.2671,128,0.2608,0.2590,0.2956,0.3064,0.3142,128,0.2608,0.2605,0.2922,0.3084,0.3084,128,0.2355,0.2333,0.2726,0.2895,0.2936,128,0.2355,0.2371,0.2731,0.2832,0.3110
