matrix,fabric,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_100MB.cm,1os,768,0.6914,0.7202,0.7719,0.8105,0.8525,128,0.7256,0.7256,0.7256,0.7256,0.7257,128,0.7256,0.7256,0.7257,0.7258,0.7258,128,0.7085,0.7038,0.8023,0.8318,0.8525,128,0.7085,0.7076,0.7940,0.8371,0.8373,128,0.6400,0.6341,0.7409,0.7628,0.8006,128,0.6400,0.6361,0.7456,0.7698,0.7746
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_100MB.cm,4os,576,0.3215,0.2530,0.8954,0.9390,0.9664,128,0.2530,0.2530,0.2531,0.2531,0.2531,128,0.2530,0.2530,0.2534,0.2534,0.2535,128,0.2470,0.2475,0.2801,0.2939,0.2988,128,0.2470,0.2460,0.2778,0.2879,0.2899,32,0.8932,0.8925,0.9647,0.9664,0.9664,32,0.8932,0.8915,0.9387,0.9445,0.9445
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_100MB.cm,8os,352,0.2795,0.1344,0.9464,0.9644,0.9860,128,0.1344,0.1344,0.1344,0.1344,0.1344,128,0.1344,0.1344,0.1344,0.1344,0.1344,32,0.5251,0.5251,0.5251,0.5251,0.5251,32,0.5251,0.5251,0.5251,0.5251,0.5251,16,0.9486,0.9509,0.9645,0.9645,0.9645,16,0.9486,0.9491,0.9860,0.9860,0.9860
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_16MB.cm,1os,768,0.6920,0.7210,0.7726,0.8114,0.8533,128,0.7263,0.7263,0.7264,0.7264,0.7264,128,0.7263,0.7263,0.7264,0.7265,0.7266,128,0.7092,0.7045,0.8031,0.8327,0.8533,128,0.7092,0.7083,0.7947,0.8379,0.8380,128,0.6406,0.6348,0.7416,0.7635,0.8014,128,0.6406,0.6368,0.7463,0.7706,0.7753
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_16MB.cm,4os,576,0.3224,0.2537,0.8980,0.9419,0.9693,128,0.2537,0.2537,0.2538,0.2539,0.2539,128,0.2537,0.2537,0.2541,0.2542,0.2542,128,0.2478,0.2482,0.2809,0.2948,0.2997,128,0.2478,0.2467,0.2787,0.2888,0.2907,32,0.8959,0.8953,0.9676,0.9693,0.9693,32,0.8959,0.8942,0.9415,0.9474,0.9474
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_16MB.cm,8os,352,0.2793,0.1343,0.9458,0.9638,0.9853,128,0.1343,0.1343,0.1343,0.1343,0.1343,128,0.1343,0.1343,0.1343,0.1343,0.1343,32,0.5248,0.5248,0.5248,0.5248,0.5248,32,0.5248,0.5248,0.5248,0.5248,0.5248,16,0.9480,0.9503,0.9638,0.9638,0.9638,16,0.9480,0.9485,0.9853,0.9853,0.9853
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_64MB.cm,1os,768,0.6925,0.7215,0.7732,0.8119,0.8539,128,0.7268,0.7268,0.7269,0.7269,0.7269,128,0.7268,0.7268,0.7270,0.7270,0.7270,128,0.7097,0.7050,0.8037,0.8333,0.8539,128,0.7097,0.7088,0.7953,0.8386,0.8387,128,0.6410,0.6352,0.7421,0.7641,0.8020,128,0.6410,0.6372,0.7469,0.7711,0.7759
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_64MB.cm,4os,576,0.3217,0.2532,0.8961,0.9398,0.9672,128,0.2532,0.2532,0.2533,0.2533,0.2533,128,0.2532,0.2532,0.2536,0.2536,0.2537,128,0.2473,0.2477,0.2803,0.2942,0.2990,128,0.2473,0.2462,0.2781,0.2881,0.2901,32,0.8940,0.8933,0.9655,0.9672,0.9672,32,0.8940,0.8922,0.9395,0.9453,0.9453
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_64MB.cm,8os,352,0.2794,0.1344,0.9460,0.9641,0.9856,128,0.1344,0.1344,0.1344,0.1344,0.1344,128,0.1344,0.1344,0.1344,0.1344,0.1344,32,0.5249,0.5249,0.5249,0.5249,0.5249,32,0.5249,0.5249,0.5249,0.5249,0.5249,16,0.9483,0.9505,0.9641,0.9641,0.9641,16,0.9483,0.9487,0.9856,0.9856,0.9856
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_100MB.cm,1os,4730,0.0013,0.0005,0.0019,0.0136,0.9943,1024,0.0010,0.0010,0.0010,0.0010,0.0190,1024,0.0010,0.0000,0.0000,0.0000,0.9943,659,0.0015,0.0010,0.0029,0.0039,0.0049,682,0.0015,0.0000,0.0001,0.1069,0.1341,671,0.0014,0.0010,0.0029,0.0039,0.0049,670,0.0014,0.0000,0.0136,0.0204,0.0233
