matrix,workload,size_MB,nodes,conns,stack,topology,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,pfc_pauses,pfc_pause_us,max_queue_bytes,slowdown_p50,slowdown_p99,slowdown_max,fairness_jain,overflow
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_100MB.cm,allreduce_rail_aware,100,1024,28672,ib,flat,ok,205,28672,8124.8,28.6,2756.8,6933.4,8124.8,204.600,0,0,0,0,0,0,0,0,0,21745,86508.0,116096,12.5498,1163.7150,1801.8550,0.1678,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_100MB.cm,allreduce_rail_aware,100,1024,28672,ib,rail,ok,197,28672,6442.8,28.6,2242.2,5639.3,6442.8,204.600,0,0,0,0,0,0,0,0,0,11118,44187.6,115968,10.0270,947.1800,1341.9300,0.1696,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_16MB.cm,allreduce_rail_aware,16,1024,28672,ib,flat,ok,33,28672,1297.1,4.9,273.7,862.7,1297.1,32.736,0,0,0,0,0,0,0,0,0,16538,85208.7,117472,7.6717,582.3172,1774.5000,0.1722,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_16MB.cm,allreduce_rail_aware,16,1024,28672,ib,rail,ok,33,28672,1139.2,4.9,243.4,928.9,1139.2,32.736,0,0,0,0,0,0,0,0,0,12865,64269.5,117184,6.9800,639.5117,1548.1437,0.1736,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_64MB.cm,allreduce_rail_aware,64,1024,28672,ib,flat,ok,167,28672,5357.5,18.5,1826.4,4762.1,5357.5,130.944,0,0,0,0,0,0,0,0,0,17667,71328.5,115712,13.3574,1282.2148,1874.0234,0.1680,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_64MB.cm,allreduce_rail_aware,64,1024,28672,ib,rail,ok,163,28672,4538.4,18.5,1528.5,3948.6,4538.4,130.944,0,0,0,0,0,0,0,0,0,9483,38366.9,115008,10.8464,1059.8047,1584.0586,0.1696,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_2048gpu_100MB.cm,allreduce_rail_aware,100,2048,61440,ib,flat,ok,534,61440,8320.8,28.6,2936.8,7196.5,8320.8,409.400,0,0,0,0,0,0,0,0,0,44797,179424.0,114944,14.1913,2330.8846,3634.9279,0.1561,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_2048gpu_100MB.cm,allreduce_rail_aware,100,2048,61440,ib,rail,ok,530,61440,7042.8,28.6,2495.8,6062.1,7042.8,409.400,0,0,0,0,0,0,0,0,0,31204,124075.0,117248,12.0112,1937.8269,3026.7548,0.1574,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_2048gpu_16MB.cm,allreduce_rail_aware,16,2048,61440,ib,flat,ok,85,61440,1388.2,4.9,284.9,1013.5,1388.2,65.504,0,0,0,0,0,0,0,0,0,31652,160944.0,117568,9.2499,1239.3469,3805.2500,0.1603,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_2048gpu_16MB.cm,allreduce_rail_aware,16,2048,61440,ib,rail,ok,81,61440,1236.3,4.9,261.2,978.1,1236.3,65.504,0,0,0,0,0,0,0,0,0,30393,154846.0,117696,8.9758,1226.6844,3354.7188,0.1612,0
