matrix,stack,topology,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max
rail_allreduce_1024gpu_100MB,ib,flat,6144,0.0979,0.1185,0.1754,0.2352,0.3371,2048,0.0853,0.1262,0.1262,0.1262,0.1262,2048,0.0853,0.1262,0.1262,0.1262,0.1262,1024,0.1232,0.1191,0.2179,0.2560,0.3279,1024,0.1232,0.1172,0.2131,0.2735,0.3371,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_100MB,ib,rail,6143,0.1118,0.1196,0.1797,0.2416,0.3973,2048,0.1076,0.1591,0.1591,0.1591,0.1591,2048,0.1076,0.1591,0.1591,0.1591,0.1591,1024,0.1202,0.1196,0.2226,0.2777,0.3973,1023,0.1203,0.1193,0.2238,0.2779,0.3950,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_16MB,ib,flat,6144,0.0984,0.1196,0.1759,0.2304,0.3288,2048,0.0857,0.1268,0.1268,0.1268,0.1269,2048,0.0857,0.1268,0.1268,0.1268,0.1268,1024,0.1238,0.1197,0.2188,0.2571,0.3288,1024,0.1238,0.1195,0.2148,0.2667,0.3214,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_16MB,ib,rail,6143,0.1013,0.1079,0.1631,0.2169,0.3774,2048,0.0976,0.1444,0.1444,0.1444,0.1444,2048,0.0976,0.1444,0.1444,0.1444,0.1444,1024,0.1087,0.1082,0.2013,0.2511,0.3593,1023,0.1088,0.1079,0.2152,0.2537,0.3774,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_64MB,ib,flat,6144,0.0950,0.1148,0.1701,0.2275,0.3408,2048,0.0828,0.1224,0.1224,0.1224,0.1224,2048,0.0828,0.1224,0.1224,0.1224,0.1224,1024,0.1195,0.1156,0.2115,0.2484,0.3181,1024,0.1195,0.1139,0.2105,0.2536,0.3408,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_64MB,ib,rail,6144,0.1015,0.1083,0.1634,0.2178,0.3607,2048,0.0977,0.1445,0.1445,0.1445,0.1445,2048,0.0977,0.1445,0.1445,0.1445,0.1445,1024,0.1092,0.1086,0.2021,0.2521,0.3607,1024,0.1092,0.1083,0.2158,0.2365,0.3414,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_2048gpu_100MB,ib,flat,12288,0.0964,0.1175,0.1753,0.2280,0.3207,4096,0.0836,0.1237,0.1237,0.1237,0.1237,4096,0.0836,0.1237,0.1237,0.1237,0.1237,2048,0.1222,0.1177,0.2112,0.2518,0.3057,2048,0.1222,0.1175,0.2142,0.2568,0.3207,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_2048gpu_100MB,ib,rail,12288,0.1086,0.1273,0.1834,0.2447,0.3620,4096,0.0987,0.1462,0.1462,0.1462,0.1462,4096,0.0987,0.1462,0.1462,0.1462,0.1462,2048,0.1283,0.1273,0.2272,0.2716,0.3620,2048,0.1283,0.1274,0.2269,0.2809,0.3458,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_2048gpu_16MB,ib,flat,12288,0.0927,0.1126,0.1691,0.2189,0.3032,4096,0.0803,0.1190,0.1190,0.1190,0.1190,4096,0.0803,0.1190,0.1190,0.1190,0.1190,2048,0.1176,0.1132,0.2030,0.2419,0.2935,2048,0.1176,0.1120,0.2040,0.2442,0.3032,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_2048gpu_16MB,ib,rail,12288,0.0991,0.1160,0.1671,0.2166,0.3299,4096,0.0902,0.1336,0.1336,0.1336,0.1336,4096,0.0902,0.1336,0.1336,0.1336,0.1336,2048,0.1170,0.1161,0.2071,0.2475,0.3299,2048,0.1170,0.1158,0.2070,0.2646,0.3219,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
