matrix,nodes,conns,fabric,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,sweep,workload,size_MB,os_ratio,makespan_ms,rtx_corr,nacks_corr,nack_pct
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_1024n_16MB.cm,1024,1047552,1os,timeout,86484,7064,257535.0,162394.0,194259.0,248231.0,257535.0,113.029,1313472622,256796512,5291190,0,1225761375,32525669,0,0,222871156,a2a_conc_128_1024,a2a,16,1,257.5,256796512,32525669,2.071
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_1024n_16MB.cm,1024,1047552,4os,timeout,86407,7168,125690.0,19095.8,56702.9,81011.9,125690.0,114.694,474468616,1499471152,0,0,452632062,1500115423,0,0,74797,a2a_conc_128_1024,a2a,16,4,125.7,1499471152,1500115423,75.996
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_100MB.cm,128,16256,1os,ok,10693,16256,540030.0,209082.0,535272.0,539676.0,540030.0,1625.612,397849344,11570406,15702,0,291878286,11305338,0,0,264177,a2a_conc_128_1024,a2a,100,1,540.0,11570406,11305338,2.761
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_100MB.cm,128,16256,4os,ok,35066,16256,2026880.0,175422.0,2021370.0,2026360.0,2026880.0,1625.612,397849344,1058441250,0,0,362676186,1058441179,0,0,20,a2a_conc_128_1024,a2a,100,4,2026.9,1058441250,1058441179,72.681
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_100MB.cm,128,16256,8os,ok,76944,16256,4629870.0,105529.0,4619810.0,4629220.0,4629870.0,1625.612,397849344,-1293287972,0,0,390793414,-1293288061,0,0,12,a2a_conc_128_1024,a2a,100,8,4629.9,3.00168e+09,3.00168e+09,88.297
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_16MB.cm,128,16256,1os,ok,1665,16256,86385.7,35439.0,85443.3,86226.6,86385.7,260.109,63658496,1878271,6912,0,47129588,1828243,0,0,49779,a2a_conc_128_1024,a2a,16,1,86.4,1878271,1828243,2.790
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_16MB.cm,128,16256,4os,ok,5636,16256,324181.0,28174.6,322401.0,324046.0,324181.0,260.109,63658496,168503257,0,0,58025786,168503187,0,0,20,a2a_conc_128_1024,a2a,16,4,324.2,168503257,168503187,72.580
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_16MB.cm,128,16256,8os,ok,12278,16256,739815.0,16576.2,736120.0,739707.0,739815.0,260.109,63658496,477347899,0,0,62526138,477347810,0,0,12,a2a_conc_128_1024,a2a,16,8,739.8,477347899,477347810,88.233
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_64MB.cm,128,16256,1os,ok,6933,16256,345429.0,134008.0,342478.0,345199.0,345429.0,1040.434,254633984,7402350,11673,0,186895563,7229741,0,0,171944,a2a_conc_128_1024,a2a,64,1,345.4,7402350,7229741,2.759
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_64MB.cm,128,16256,4os,ok,22530,16256,1297180.0,112299.0,1293030.0,1296810.0,1297180.0,1040.434,254633984,676933393,1,0,232119440,676933318,0,0,25,a2a_conc_128_1024,a2a,64,4,1297.2,676933393,676933318,72.666
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_64MB.cm,128,16256,8os,ok,49672,16256,2962390.0,67441.0,2954600.0,2962110.0,2962390.0,1040.434,254633984,1919163996,0,0,250116765,1919163907,0,0,12,a2a_conc_128_1024,a2a,64,8,2962.4,1919163996,1919163907,88.286
