matrix,fabric,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max,sweep,workload,size_MB,os_ratio
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_1024n_16MB.cm,1os,6144,0.9588,0.9748,0.9979,0.9979,0.9979,1024,0.9979,0.9979,0.9979,0.9979,0.9979,1024,0.9822,0.9821,0.9846,0.9855,0.9869,1024,0.9769,0.9769,0.9782,0.9788,0.9798,1024,0.9716,0.9717,0.9738,0.9747,0.9755,1024,0.9121,0.9122,0.9178,0.9201,0.9252,1024,0.9121,0.9122,0.9183,0.9202,0.9223,a2a_conc_128_1024,a2a,16,1
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_1024n_16MB.cm,4os,3072,0.8926,1.0000,1.0000,1.0000,1.0000,1024,1.0000,1.0000,1.0000,1.0000,1.0000,1024,0.6779,0.6779,0.6791,0.6795,0.6798,256,1.0000,1.0000,1.0000,1.0000,1.0000,256,1.0000,1.0000,1.0000,1.0000,1.0000,256,1.0000,1.0000,1.0000,1.0000,1.0000,256,1.0000,1.0000,1.0000,1.0000,1.0000,a2a_conc_128_1024,a2a,16,4
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_100MB.cm,1os,768,0.9405,0.9629,0.9945,0.9946,0.9947,128,0.9944,0.9945,0.9946,0.9947,0.9947,128,0.9678,0.9678,0.9679,0.9680,0.9680,128,0.9716,0.9717,0.9760,0.9772,0.9776,128,0.9565,0.9569,0.9597,0.9602,0.9616,128,0.8774,0.8771,0.8919,0.8977,0.9002,128,0.8754,0.8753,0.8915,0.8968,0.8999,a2a_conc_128_1024,a2a,100,1
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_100MB.cm,4os,576,0.6526,0.9329,1.0000,1.0000,1.0000,128,0.9458,0.9459,0.9465,0.9466,0.9466,128,0.2790,0.2790,0.2790,0.2790,0.2790,128,0.9398,0.9408,0.9544,0.9602,0.9718,128,0.2730,0.2733,0.2762,0.2770,0.2775,32,1.0000,1.0000,1.0000,1.0000,1.0000,32,0.9970,0.9977,1.0000,1.0000,1.0000,a2a_conc_128_1024,a2a,100,4
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_100MB.cm,8os,352,0.6335,0.9665,1.0000,1.0000,1.0000,128,0.9669,0.9669,0.9674,0.9675,0.9676,128,0.1391,0.1391,0.1391,0.1391,0.1391,32,1.0000,1.0000,1.0000,1.0000,1.0000,32,0.5457,0.5457,0.5457,0.5457,0.5457,16,1.0000,1.0000,1.0000,1.0000,1.0000,16,0.9984,0.9985,1.0000,1.0000,1.0000,a2a_conc_128_1024,a2a,100,8
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_16MB.cm,1os,768,0.9411,0.9641,0.9953,0.9956,0.9959,128,0.9952,0.9952,0.9956,0.9958,0.9959,128,0.9685,0.9685,0.9690,0.9691,0.9692,128,0.9723,0.9727,0.9769,0.9782,0.9790,128,0.9570,0.9573,0.9608,0.9619,0.9632,128,0.8780,0.8777,0.8929,0.8992,0.9029,128,0.8757,0.8751,0.8909,0.8958,0.8980,a2a_conc_128_1024,a2a,16,1
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_16MB.cm,4os,576,0.6512,0.9298,1.0000,1.0000,1.0000,128,0.9427,0.9427,0.9440,0.9445,0.9446,128,0.2790,0.2790,0.2790,0.2791,0.2791,128,0.9367,0.9378,0.9511,0.9578,0.9691,128,0.2730,0.2732,0.2762,0.2775,0.2776,32,1.0000,1.0000,1.0000,1.0000,1.0000,32,0.9969,0.9975,1.0000,1.0000,1.0000,a2a_conc_128_1024,a2a,16,4
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_16MB.cm,8os,352,0.6321,0.9621,1.0000,1.0000,1.0000,128,0.9629,0.9629,0.9642,0.9644,0.9646,128,0.1391,0.1391,0.1391,0.1391,0.1391,32,1.0000,1.0000,1.0000,1.0000,1.0000,32,0.5458,0.5458,0.5458,0.5458,0.5458,16,1.0000,1.0000,1.0000,1.0000,1.0000,16,0.9985,0.9985,1.0000,1.0000,1.0000,a2a_conc_128_1024,a2a,16,8
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_64MB.cm,1os,768,0.9410,0.9629,0.9951,0.9952,0.9953,128,0.9950,0.9950,0.9952,0.9953,0.9953,128,0.9684,0.9684,0.9685,0.9686,0.9686,128,0.9722,0.9723,0.9766,0.9781,0.9787,128,0.9570,0.9573,0.9598,0.9611,0.9620,128,0.8779,0.8776,0.8935,0.8981,0.8990,128,0.8758,0.8755,0.8919,0.8986,0.9009,a2a_conc_128_1024,a2a,64,1
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_64MB.cm,4os,576,0.6524,0.9324,1.0000,1.0000,1.0000,128,0.9453,0.9454,0.9461,0.9462,0.9462,128,0.2790,0.2790,0.2790,0.2790,0.2790,128,0.9393,0.9406,0.9536,0.9602,0.9716,128,0.2730,0.2733,0.2761,0.2769,0.2773,32,1.0000,1.0000,1.0000,1.0000,1.0000,32,0.9970,0.9977,1.0000,1.0000,1.0000,a2a_conc_128_1024,a2a,64,4
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/a2a_conc_128_1024/matrices/a2a_128n_64MB.cm,8os,352,0.6333,0.9658,1.0000,1.0000,1.0000,128,0.9663,0.9663,0.9669,0.9672,0.9674,128,0.1391,0.1391,0.1391,0.1391,0.1391,32,1.0000,1.0000,1.0000,1.0000,1.0000,32,0.5457,0.5457,0.5457,0.5458,0.5458,16,1.0000,1.0000,1.0000,1.0000,1.0000,16,0.9985,0.9985,1.0000,1.0000,1.0000,a2a_conc_128_1024,a2a,64,8
