matrix,nodes,conns,fabric,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,sweep,workload,size_MB,os_ratio,makespan_ms,rtx_corr,nacks_corr,nack_pct
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_1024n_16MB.cm,1024,1047552,1os,incomplete,62596,413150,1012330.0,657.5,449614.0,1000770.0,1012330.0,6610.721,0,0,0,0,0,0,0,0,3,a2a_128_1024,a2a,16,1,1012.3,0,0,0.000
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_100MB.cm,128,16256,1os,ok,6491,16256,1102310.0,4091.3,410477.0,1023320.0,1102310.0,1625.612,397849344,884771,0,0,243628578,884771,0,0,0,a2a_128_1024,a2a,100,1,1102.3,884771,884771,0.222
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_100MB.cm,128,16256,4os,ok,6290,16256,2007730.0,4084.7,984987.0,1949690.0,2007730.0,1625.612,397849344,3295093,0,0,314366109,3295085,0,0,8,a2a_128_1024,a2a,100,4,2007.7,3295093,3295085,0.821
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_100MB.cm,128,16256,8os,ok,5236,16256,3958740.0,4093.2,1926260.0,3868790.0,3958740.0,1625.612,397849344,2192453,6,0,350883255,2192408,0,0,44,a2a_128_1024,a2a,100,8,3958.7,2192453,2192408,0.548
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_16MB.cm,128,16256,1os,ok,915,16256,270971.0,658.0,81601.9,252281.0,270971.0,260.109,63658496,567726,0,0,35486835,567726,0,0,0,a2a_128_1024,a2a,16,1,271.0,567726,567726,0.884
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_16MB.cm,128,16256,4os,ok,972,16256,328572.0,657.2,158891.0,313643.0,328572.0,260.109,63658496,776742,0,0,49472430,776742,0,0,0,a2a_128_1024,a2a,16,4,328.6,776742,776742,1.205
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_16MB.cm,128,16256,8os,ok,799,16256,632149.0,658.9,314456.0,621373.0,632149.0,260.109,63658496,860044,1,0,55591974,860039,0,0,5,a2a_128_1024,a2a,16,8,632.1,860044,860039,1.333
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_64MB.cm,128,16256,1os,ok,3957,16256,922845.0,2619.9,307431.0,828526.0,922845.0,1040.434,254633984,716194,0,0,154351027,716194,0,0,0,a2a_128_1024,a2a,64,1,922.8,716194,716194,0.280
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_64MB.cm,128,16256,4os,ok,3992,16256,1303970.0,2615.5,628178.0,1260120.0,1303970.0,1040.434,254633984,2274831,3,0,199943637,2274822,0,0,8,a2a_128_1024,a2a,64,4,1304.0,2274831,2274822,0.885
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_64MB.cm,128,16256,8os,ok,3293,16256,2504500.0,2621.6,1243220.0,2465160.0,2504500.0,1040.434,254633984,1601759,0,0,224591560,1601735,0,0,24,a2a_128_1024,a2a,64,8,2504.5,1601759,1601735,0.625
