matrix,fabric,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max,sweep,workload,size_MB,os_ratio
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_1024n_16MB.cm,1os,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2a_128_1024,a2a,16,1
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_100MB.cm,1os,768,0.4510,0.4623,0.4737,0.4739,0.4741,128,0.4735,0.4735,0.4739,0.4740,0.4741,128,0.4729,0.4729,0.4732,0.4734,0.4735,128,0.4624,0.4624,0.4694,0.4706,0.4707,128,0.4622,0.4620,0.4684,0.4700,0.4719,128,0.4176,0.4181,0.4254,0.4269,0.4279,128,0.4176,0.4174,0.4250,0.4277,0.4306,a2a_128_1024,a2a,100,1
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_100MB.cm,4os,576,0.3321,0.2602,0.9231,0.9266,0.9286,128,0.2623,0.2623,0.2624,0.2625,0.2625,128,0.2602,0.2602,0.2603,0.2603,0.2603,128,0.2562,0.2560,0.2603,0.2614,0.2628,128,0.2541,0.2541,0.2571,0.2574,0.2578,32,0.9251,0.9252,0.9280,0.9286,0.9286,32,0.9209,0.9211,0.9227,0.9230,0.9230,a2a_128_1024,a2a,100,4
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_100MB.cm,8os,352,0.2755,0.1328,0.9350,0.9382,0.9384,128,0.1328,0.1328,0.1329,0.1329,0.1329,128,0.1321,0.1321,0.1322,0.1322,0.1322,32,0.5189,0.5189,0.5190,0.5191,0.5191,32,0.5162,0.5162,0.5163,0.5163,0.5163,16,0.9372,0.9373,0.9384,0.9384,0.9384,16,0.9345,0.9345,0.9351,0.9351,0.9351,a2a_128_1024,a2a,100,8
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_16MB.cm,1os,768,0.2952,0.3027,0.3103,0.3108,0.3112,128,0.3100,0.3100,0.3108,0.3111,0.3112,128,0.3087,0.3087,0.3092,0.3094,0.3094,128,0.3027,0.3028,0.3076,0.3086,0.3091,128,0.3027,0.3026,0.3070,0.3081,0.3110,128,0.2735,0.2735,0.2783,0.2810,0.2811,128,0.2735,0.2736,0.2788,0.2795,0.2807,a2a_128_1024,a2a,16,1
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_16MB.cm,4os,576,0.3253,0.2544,0.9056,0.9087,0.9120,128,0.2574,0.2574,0.2576,0.2576,0.2576,128,0.2544,0.2544,0.2545,0.2546,0.2546,128,0.2514,0.2513,0.2554,0.2568,0.2574,128,0.2485,0.2488,0.2515,0.2532,0.2533,32,0.9074,0.9075,0.9098,0.9120,0.9120,32,0.9017,0.9021,0.9037,0.9044,0.9044,a2a_128_1024,a2a,16,4
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_16MB.cm,8os,352,0.2772,0.1341,0.9398,0.9455,0.9461,128,0.1341,0.1341,0.1342,0.1343,0.1343,128,0.1324,0.1324,0.1324,0.1324,0.1324,32,0.5240,0.5240,0.5242,0.5242,0.5242,32,0.5175,0.5175,0.5176,0.5176,0.5176,16,0.9450,0.9453,0.9461,0.9461,0.9461,16,0.9391,0.9391,0.9401,0.9401,0.9401,a2a_128_1024,a2a,16,8
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_64MB.cm,1os,768,0.3450,0.3534,0.3623,0.3626,0.3627,128,0.3622,0.3622,0.3626,0.3627,0.3627,128,0.3616,0.3616,0.3620,0.3621,0.3622,128,0.3536,0.3535,0.3591,0.3597,0.3597,128,0.3536,0.3533,0.3593,0.3614,0.3627,128,0.3194,0.3194,0.3262,0.3272,0.3279,128,0.3194,0.3194,0.3246,0.3261,0.3277,a2a_128_1024,a2a,64,1
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_64MB.cm,4os,576,0.3273,0.2564,0.9101,0.9140,0.9153,128,0.2586,0.2586,0.2587,0.2588,0.2588,128,0.2564,0.2564,0.2565,0.2565,0.2565,128,0.2526,0.2525,0.2559,0.2578,0.2599,128,0.2504,0.2505,0.2533,0.2540,0.2543,32,0.9121,0.9121,0.9153,0.9153,0.9153,32,0.9078,0.9080,0.9092,0.9097,0.9097,a2a_128_1024,a2a,64,4
/media/mahmoud_murad_allaah/Data/a2a_128_1024/matrices/a2a_128n_64MB.cm,8os,352,0.2789,0.1345,0.9462,0.9496,0.9499,128,0.1345,0.1345,0.1345,0.1346,0.1346,128,0.1337,0.1337,0.1337,0.1337,0.1337,32,0.5254,0.5254,0.5255,0.5255,0.5255,32,0.5222,0.5222,0.5223,0.5223,0.5223,16,0.9487,0.9490,0.9499,0.9499,0.9499,16,0.9457,0.9457,0.9463,0.9463,0.9463,a2a_128_1024,a2a,64,8
