matrix,nodes,conns,fabric,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,sweep,workload,size_MB,os_ratio,makespan_ms,rtx_corr,nacks_corr,nack_pct
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_100MB.cm,1024,1023,1os,ok,5585,1023,4689380.0,3642820.0,4679390.0,4689290.0,4689380.0,102.301,25036902,208392084,0,0,25036584,208301217,0,0,1,all_workloads_128_1024,incast_random,100,1,4689.4,208392084,208301217,89.235
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_100MB.cm,1024,1023,4os,ok,6403,1023,4854710.0,757194.0,4845230.0,4854600.0,4854710.0,102.301,25036902,272963119,0,0,25036576,272880170,0,0,69,all_workloads_128_1024,incast_random,100,4,4854.7,272963119,272880170,91.571
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_100MB.cm,1024,1023,8os,incomplete,4934,1020,4684550.0,782118.0,4673090.0,4684430.0,4684550.0,102.001,24963726,211257665,0,0,24963057,211178458,0,0,58,all_workloads_128_1024,incast_random,100,8,4684.6,211257665,211178458,89.399
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_16MB.cm,1024,1023,1os,ok,927,1023,750077.0,571670.0,746023.0,750032.0,750077.0,16.369,4006068,33324001,0,0,4005837,33233134,0,0,1,all_workloads_128_1024,incast_random,16,1,750.1,33324001,33233134,89.025
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_16MB.cm,1024,1023,4os,ok,1025,1023,776267.0,120950.0,772300.0,776202.0,776267.0,16.369,4006068,43534426,0,0,4005926,43451477,0,0,69,all_workloads_128_1024,incast_random,16,4,776.3,43534426,43451477,91.399
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_16MB.cm,1024,1023,8os,incomplete,1145,1020,749288.0,124306.0,745378.0,749217.0,749288.0,16.321,3994566,33758354,0,0,3994128,33679147,0,0,58,all_workloads_128_1024,incast_random,16,8,749.3,33758354,33679147,89.209
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,1024,1023,1os,ok,3275,1023,3001130.0,2324270.0,2993580.0,3001040.0,3001130.0,65.475,16024272,133373361,0,0,16023903,133282494,0,0,1,all_workloads_128_1024,incast_random,64,1,3001.1,133373361,133282494,89.213
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,1024,1023,4os,ok,3792,1023,3106710.0,484496.0,3099230.0,3106610.0,3106710.0,65.475,16024272,174599879,0,0,16023901,174516930,0,0,69,all_workloads_128_1024,incast_random,64,4,3106.7,174599879,174516930,91.550
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,1024,1023,8os,incomplete,3267,1020,2998030.0,499459.0,2989890.0,2997960.0,2998030.0,65.283,15977526,135192408,0,0,15977037,135113201,0,0,58,all_workloads_128_1024,incast_random,64,8,2998.0,135192408,135113201,89.378
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_100MB.cm,128,127,1os,ok,51,127,516106.0,313098.0,497390.0,515968.0,516106.0,12.700,3108198,54774,0,0,3107771,54774,0,0,0,all_workloads_128_1024,incast_random,100,1,516.1,54774,54774,1.732
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_100MB.cm,128,127,4os,ok,46,127,516040.0,205265.0,494081.0,515963.0,516040.0,12.700,3108198,26509,0,0,3107564,26509,0,0,0,all_workloads_128_1024,incast_random,100,4,516.0,26509,26509,0.846
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_100MB.cm,128,127,8os,ok,45,127,516097.0,255235.0,507494.0,516043.0,516097.0,12.700,3108198,48865,0,0,3101354,48865,0,0,0,all_workloads_128_1024,incast_random,100,8,516.1,48865,48865,1.548
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_16MB.cm,128,127,1os,ok,9,127,82627.8,50689.0,78443.2,82603.7,82627.8,2.032,497332,22305,0,0,496977,22305,0,0,0,all_workloads_128_1024,incast_random,16,1,82.6,22305,22305,4.292
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_16MB.cm,128,127,4os,ok,8,127,82619.3,33014.1,78248.1,82607.5,82619.3,2.032,497332,18510,0,0,497038,18510,0,0,0,all_workloads_128_1024,incast_random,16,4,82.6,18510,18510,3.588
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_16MB.cm,128,127,8os,ok,7,127,82613.0,42447.5,80278.5,82598.9,82613.0,2.032,497332,16494,0,0,496072,16494,0,0,0,all_workloads_128_1024,incast_random,16,8,82.6,16494,16494,3.210
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_64MB.cm,128,127,1os,ok,32,127,330340.0,199949.0,315293.0,330258.0,330340.0,8.128,1989328,41566,0,0,1988765,41566,0,0,0,all_workloads_128_1024,incast_random,64,1,330.3,41566,41566,2.047
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_64MB.cm,128,127,4os,ok,30,127,330298.0,131458.0,319021.0,330190.0,330298.0,8.128,1989328,22460,0,0,1988591,22460,0,0,0,all_workloads_128_1024,incast_random,64,4,330.3,22460,22460,1.116
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_64MB.cm,128,127,8os,ok,29,127,330327.0,165558.0,326050.0,330301.0,330327.0,8.128,1989328,36057,0,0,1984835,36057,0,0,0,all_workloads_128_1024,incast_random,64,8,330.3,36057,36057,1.780
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_100MB.cm,1024,512,1os,ok,1538,512,2236410.0,2190900.0,2231170.0,2236330.0,2236410.0,51.200,12530688,61078968,0,0,12530314,61043551,0,0,0,all_workloads_128_1024,incast_remote,100,1,2236.4,61078968,61043551,82.929
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_100MB.cm,1024,512,4os,ok,848,512,2167800.0,2139960.0,2163830.0,2167730.0,2167800.0,51.200,12530688,34272289,0,0,12530164,34245803,0,0,0,all_workloads_128_1024,incast_remote,100,4,2167.8,34272289,34245803,73.170
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_100MB.cm,1024,512,8os,ok,862,512,2167390.0,2139760.0,2163470.0,2167350.0,2167390.0,51.200,12530688,34115003,0,0,12530385,34090084,0,0,8,all_workloads_128_1024,incast_remote,100,8,2167.4,34115003,34090084,73.083
