matrix,fabric,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max,sweep,workload,size_MB,os_ratio
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_100MB.cm,1os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all_workloads_128_1024,incast_random,100,1
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_100MB.cm,4os,3072,0.0697,0.0582,0.2581,0.3309,1.0000,1024,0.0642,0.0625,0.0834,0.0845,0.9987,1024,0.0020,0.0010,0.0013,0.0013,1.0000,256,0.2564,0.2515,0.3286,0.3545,0.4988,256,0.0117,0.0039,0.0051,0.0056,1.0000,256,0.2376,0.2486,0.2731,0.2830,0.2928,256,0.0661,0.0039,1.0000,1.0000,1.0000,all_workloads_128_1024,incast_random,100,4
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_100MB.cm,8os,2816,0.0573,0.0477,0.2489,0.4003,1.0000,1024,0.0494,0.0483,0.0618,0.0628,0.7676,1024,0.0017,0.0007,0.0010,0.0010,1.0000,256,0.1969,0.1939,0.2288,0.2596,0.3859,256,0.0108,0.0030,0.0035,0.0041,1.0000,128,0.3675,0.3842,0.4099,0.4171,0.4206,128,0.0681,0.0060,1.0000,1.0000,1.0000,all_workloads_128_1024,incast_random,100,8
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_16MB.cm,1os,6144,0.0067,0.0054,0.0091,0.1154,1.0000,1024,0.0082,0.0079,0.0080,0.0083,0.1271,1024,0.0011,0.0001,0.0001,0.0001,1.0000,1024,0.0080,0.0079,0.0095,0.0106,0.0156,1024,0.0078,0.0001,0.0001,0.0002,0.9841,1024,0.0075,0.0078,0.0096,0.0102,0.0109,1024,0.0075,0.0001,0.1154,0.1208,0.1250,all_workloads_128_1024,incast_random,16,1
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_16MB.cm,4os,3072,0.0140,0.0091,0.0404,0.0520,1.0000,1024,0.0101,0.0098,0.0131,0.0134,0.1565,1024,0.0011,0.0002,0.0002,0.0002,1.0000,256,0.0402,0.0393,0.0516,0.0557,0.0782,256,0.0084,0.0006,0.0008,0.0009,1.0000,256,0.0372,0.0389,0.0427,0.0444,0.0458,256,0.0372,0.0006,0.5818,0.5928,0.6024,all_workloads_128_1024,incast_random,16,4
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_16MB.cm,8os,2816,0.0128,0.0078,0.0420,0.0670,1.0000,1024,0.0083,0.0081,0.0103,0.0106,0.1287,1024,0.0011,0.0001,0.0002,0.0002,1.0000,256,0.0330,0.0325,0.0387,0.0435,0.0647,256,0.0083,0.0005,0.0006,0.0007,1.0000,128,0.0616,0.0645,0.0685,0.0702,0.0705,128,0.0616,0.0010,0.9674,0.9762,0.9823,all_workloads_128_1024,incast_random,16,8
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,1os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all_workloads_128_1024,incast_random,64,1
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,4os,3072,0.0693,0.0579,0.2566,0.3298,1.0000,1024,0.0639,0.0621,0.0830,0.0841,0.9928,1024,0.0019,0.0010,0.0013,0.0013,1.0000,256,0.2549,0.2500,0.3275,0.3522,0.4959,256,0.0117,0.0038,0.0051,0.0055,1.0000,256,0.2362,0.2466,0.2715,0.2815,0.2909,256,0.0661,0.0039,1.0000,1.0000,1.0000,all_workloads_128_1024,incast_random,64,4
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,8os,2816,0.0573,0.0475,0.2488,0.4004,1.0000,1024,0.0494,0.0483,0.0618,0.0629,0.7681,1024,0.0017,0.0007,0.0010,0.0010,1.0000,256,0.1970,0.1941,0.2300,0.2592,0.3861,256,0.0108,0.0030,0.0035,0.0041,1.0000,128,0.3677,0.3844,0.4092,0.4176,0.4204,128,0.0681,0.0060,1.0000,1.0000,1.0000,all_workloads_128_1024,incast_random,64,8
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_100MB.cm,1os,768,0.0077,0.0058,0.0093,0.0582,1.0000,128,0.0081,0.0080,0.0081,0.0082,0.0157,128,0.0079,0.0001,0.0001,0.0001,1.0000,128,0.0079,0.0081,0.0092,0.0097,0.0100,128,0.0078,0.0001,0.0002,0.2486,0.2508,128,0.0071,0.0077,0.0094,0.0104,0.0105,128,0.0071,0.0001,0.0568,0.0590,0.0605,all_workloads_128_1024,incast_random,100,1
